name,image_url,player_ids
Brady Hiestand,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-04/HIESTAND_BRADY_L_04-22.png?itok=YSG9_InC,1405;2702;11479
Brock Lesnar,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67517/profile-galery/fullbodyleft-picture/Brock-Lesnar_548_LeftFullBodyImage.png?VersionId=es2GU4srnPemgboD5lx_6Q0vWWD23HRN&amp;itok=1dKMNQn8,4707;6325
Bruna Brasil,https://ufc.com/images/styles/athlete_bio_full_body/s3/2026-02/BRASIL_BRUNA_L_02-07.png?itok=XpTl0Ohi,14039
Brunno Ferreira,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-07/FERREIRA_BRUNNO_L_07-19.png?itok=-DfnEuVF,1410;6326;9210;11331
Bryan Battle,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-08/BATTLE_BRYAN_L_08-16.png?itok=WzC5wqGk,1411;6327;11404
Bryce Mitchell,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-07/MITCHELL_BRYCE_L_07-26.png?itok=nqDTqwv2,4873;6328
Cain Velasquez,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67538/profile-galery/fullbodyleft-picture/Cain-Velasquez_899_LeftFullBodyImage.png?VersionId=EonoSX_uAxLzMjcEPHdUcqt44I2rooYr&amp;itok=FYDb-UDY,4708
Cameron Saaiman,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-07/SAAIMAN_CAMERON_L_07-08.png?itok=902kHYZy,1414;2709;6331;9213;11455
Carla Esparza,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/ESPARZA_CARLA_L_10-05.png?itok=g2TjeVQy,4709;6332;11414
Carlos Leal,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/LEAL_CARLOS_L_10-26.png?itok=BFHmSExh,13991
Carlston Harris,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/14/HARRIS_CARLSTON_L_05-18.png?itok=05qAEA9g,6334
Chan Sung Jung,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-08/a23c5ddc-0bb5-492d-a81d-6c25f207859c%252FJUNG_CHAN_SUNG_L_04-09.png?itok=LZsuzFar,1417;2714;4712;6337;9218;11498
Chang Ho Lee,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-04/LEE_CHANGHO_L_06-22.png?itok=qhsE5PYV,13996
Charles Jourdain,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-10/JOURDAIN_CHARLES_L_10-18.png?itok=SPRPkRaI,1204;2715;9219
Chase Hooper,https://ufc.com/images/styles/athlete_bio_full_body/s3/2026-03/HOOPER_CHASE_L_03-28.png?itok=5l2Ch8Zn,2717;4875;9221;14123
Chelsea Chandler,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-04/CHANDLER_CHELSEA_L_04-26.png?itok=NNt8QVAf,1419;2718;11481
Choi SeungWoo,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-06/2b069c1d-9d95-4599-b34e-c489d5f2f0bf%252FCHOI_SEUNGWOO_L_06-11.png?itok=AxQriYlf,1420;6339;11482
Chris Daukaus,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-11/DAUKAUS_CHRIS_L_09-25.png?itok=nbMeawCd,4714
Chris Gutierrez,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-10/GUTIERREZ_CHRIS_L_10-04.png?itok=vstu4BGq,6340
Chris Padilla,https://ufc.com/images/styles/athlete_bio_full_body/s3/2026-04/PADILLA_CHRIS_L_04-11.png?itok=dHKTyDO2,14038
Chris Weidman,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-12/WEIDMAN_CHRIS_L_12-07.png?itok=OPZrGqT8,1206;1421;6341;11507
Christian Duncan,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-11/DUNCAN_CHRISTIAN_LEROY_L_11-08.png?itok=il-1dViK,1207;2719;9222
Christian Rodriguez,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-03/RODRIGUEZ_CHRISTIAN_L_03-29.png?itok=Rh_L77ey,1208;2720;9223
Claudia Gadelha,https://ufc.com/images/styles/athlete_bio_full_body/s3/2020-11/67642%252Fprofile-galery%252Ffullbodyleft-picture%252FGADELHA_CLAUDIA_L_07-06.png?itok=Cu4RMEJ5,4876
